zpid,Address,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,is_bankOwned,isUnmappable,isPreforeclosureAuction,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedvalue,lotAreaValue,lotAreaUnit
37430128,8704 Cushman Dr,20735,Clinton,MD,38.76976,-76.91772,429900.0,3,5,2088.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,404300.0,8778.0,sqft
37555039,7204 Annapolis Rd,20784,Hyattsville,MD,38.94759,-76.89116,389000.0,2,4,1080.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,291500.0,6559.0,sqft
37355829,5403 Tilden Rd,20710,Bladensburg,MD,38.94166,-76.92609,305000.0,3,4,1656.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,296900.0,6000.0,sqft
37466348,200 N Huron Dr,20745,Oxon Hill,MD,38.813362,-77.005486,315000.0,2,2,1584.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,302300.0,7400.0,sqft
37549788,10003 Old Franklin Ave,20706,Lanham,MD,38.97061,-76.83151,435000.0,2,4,2500.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,332000.0,0.42316345270890726,acres
37289968,10007 Gardiner Ave,20902,Silver Spring,MD,39.01958,-77.05025,490000.0,2,3,1148.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,434100.0,7128.0,sqft
37466613,502 Potomac Valley Dr,20744,Fort Washington,MD,38.77241,-77.01924,399999.0,3,4,2100.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,401700.0,10130.0,sqft
513651,709 56th Pl NE,20019,Washington,DC,38.90001,-76.91941,439000.0,1,3,1534.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,308140.0,4311.0,sqft
37556934,230 Lastner Ln,20770,Greenbelt,MD,39.0095,-76.8839,479000.0,3,3,1800.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,418400.0,8569.0,sqft
51920786,3907 Elmwood Dr,22303,Alexandria,VA,38.80104,-77.10014,525000.0,2,4,1576.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,503830.0,0.2967860422405877,acres
37553694,7310 Longbranch Dr,20784,Hyattsville,MD,38.96806,-76.8883,489000.0,3,5,1968.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,321200.0,7577.0,sqft
